DT_GERACAO;HH_GERACAO;CD_PLEITO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_URNA_ESPERADA;CD_CARGA_URNA_ESPERADA;CD_FLASHCARD_URNA_ESPERADA;DT_CARGA_URNA_ESPERADA;ST_CORRESP_ALTERADA
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1176959;1,53681E+23;23C345C4;27/09/2018 09:49;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1175789;3,25398E+23;23C345C4;27/09/2018 11:49;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1174553;2,4459E+23;23C345C4;27/09/2018 09:41;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1105693;9,71864E+23;23C345C4;27/09/2018 11:38;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1104820;7,09137E+23;23C345C4;27/09/2018 10:52;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1101091;5,07117E+23;23C345C4;27/09/2018 10:44;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1072106;7,90046E+23;23C345C4;27/09/2018 11:28;*
27/10/2018;14:41:59;229;AC;1570;ASSIS BRASIL;6;1071674;5,77824E+23;23C345C4;27/09/2018 10:38;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1107252;3,97472E+23;67F57686;26/09/2018 17:57;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1106174;3,67169E+23;67F57686;26/09/2018 18:07;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1105834;6,90403E+23;67F57686;26/09/2018 17:43;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104778;6,80302E+23;67F57686;20/10/2018 14:41;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104748;4,98482E+23;67F57686;27/09/2018 15:03;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104381;6,09594E+23;67F57686;26/09/2018 18:12;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1104090;1,04543E+23;67F57686;21/10/2018 10:41;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1103250;7,81312E+23;67F57686;21/10/2018 10:10;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101968;5,38887E+23;67F57686;27/09/2018 14:53;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101393;4,88381E+23;67F57686;26/09/2018 18:20;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1101320;9,44421E+22;67F57686;26/09/2018 18:02;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1056154;6,602E+23;67F57686;27/09/2018 11:39;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1015902;2,35856E+23;67F57686;20/10/2018 11:01;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1015704;7,51009E+23;67F57686;26/09/2018 17:48;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1009099;1,55048E+23;67F57686;26/09/2018 17:53;*
27/10/2018;14:41:59;229;AC;1554;MANOEL URBANO;3;1005748;3,06563E+23;67F57686;20/10/2018 14:21;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1193722;3,78625E+23;C050F90C;27/09/2018 10:57;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1192281;2,67514E+23;C050F90C;27/09/2018 10:28;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1106834;3,78625E+23;E58BAE0F;27/09/2018 10:09;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1106451;6,00949E+23;C050F90C;27/09/2018 10:45;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1105398;3,48322E+23;C050F90C;27/09/2018 10:12;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1104882;8,73676E+23;E58BAE0F;27/09/2018 10:52;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1104488;9,74686E+23;C050F90C;27/09/2018 10:11;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1103744;1,96807E+23;E58BAE0F;27/09/2018 10:58;*
27/10/2018;14:41:59;229;AC;1538;SENADOR GUIOMARD;8;1103190;8,02969E+23;C050F90C;27/09/2018 10:23;*
